Total weight: 681397
(5030.35,7697.94)--(5030.66,7698.53)	0.665261
(6863.74,5120.18)--(6862.7,5120.04)	1.046
(1711.71,4927.08)--(1712.85,4927.81)	1.35312
(8729.19,6787.72)--(8727.43,6787.85)	1.77073
(523.843,284.651)--(523.768,286.632)	1.98244
(6937.78,3951.42)--(6939.86,3950.54)	2.25259
(4545.96,6842.93)--(4544.96,6840.91)	2.25898
(4308.88,5800.97)--(4309.99,5798.82)	2.422
(5701.57,5883.26)--(5703.35,5885.02)	2.50231
(5573.68,931.061)--(5573.16,928.434)	2.67837
(1674.81,1182.47)--(1673.64,1180.03)	2.70351
(2458.46,4051.79)--(2461.2,4051.83)	2.73586
(8108.52,8870.18)--(8108.32,8872.91)	2.74491
(9017.02,1961.77)--(9015.59,1959.41)	2.76235
(171.728,8850.78)--(169.306,8852.27)	2.84362
(6744.38,5457.94)--(6744.2,5460.87)	2.93601
(4261.32,465.673)--(4259.96,462.978)	3.02042
(8936.79,1682.38)--(8939.42,1684.35)	3.29135
(4773.69,7595.33)--(4771.65,7597.96)	3.33673
(8449.39,2232.73)--(8449.76,2236.05)	3.33893
(1670.59,3271.11)--(1672.81,3268.52)	3.40767
(4479.21,4707.13)--(4476.42,4709.33)	3.56086
(6601.56,5441.3)--(6597.81,5440.9)	3.7701
(671.44,2916.03)--(671.622,2919.81)	3.78303
(1053.82,591.215)--(1053.17,595.05)	3.89039
(1153.57,3640.02)--(1150.31,3642.18)	3.91097
(4881.64,9250.49)--(4885.6,9250.71)	3.9694
(3976.5,3585.63)--(3980.11,3587.39)	4.01113
(5404.61,3386.56)--(5407.82,3389.4)	4.28124
(5889.22,4631.6)--(5885.06,4632.68)	4.2956
(4822.62,2068.23)--(4821.27,2072.37)	4.34885
(7246.26,4169.85)--(7241.92,4168.71)	4.48187
(6611.24,9973.34)--(6607.8,9970.46)	4.48569
(8609.22,7376.87)--(8609.15,7381.47)	4.60511
(6726.33,1788.56)--(6726.99,1793.12)	4.61193
(8056.22,3956.26)--(8057.77,3951.89)	4.63476
(9901.2,2323.73)--(9904.43,2327.1)	4.66914
(3521.45,5076.42)--(3517.82,5073.37)	4.7456
(3265.99,8590.7)--(3261.24,8590.19)	4.77997
(8170.97,1855.69)--(8166.54,1853.76)	4.83588
(8472.22,6755.57)--(8467.44,6753.88)	5.06496
(561.473,7514.76)--(556.385,7514.5)	5.09448
(7501.22,267.766)--(7498.1,263.707)	5.11776
(760.141,9147.4)--(759.123,9152.45)	5.15607
(9005.24,2884.91)--(9007.39,2880.17)	5.20687
(5811.32,7419.66)--(5815.97,7422.51)	5.45374
(4674.74,7047.41)--(4671.46,7051.81)	5.4824
(7117.7,7277.06)--(7119.24,7282.35)	5.51036
(2753.76,9196.25)--(2752.64,9201.78)	5.64282
(1679.05,9140.8)--(1675.52,9136.4)	5.64818
(929.554,7627.39)--(933.393,7631.56)	5.66925
(5274.82,7791.53)--(5270.9,7795.65)	5.68148
(216.641,8829.76)--(213.725,8834.64)	5.68852
(770.694,2333.38)--(776.127,2331.6)	5.71616
(1520.46,6407.66)--(1514.99,6409.38)	5.73934
(8779.53,545.66)--(8783.25,550.056)	5.75558
(1875.81,3841.1)--(1881.61,3841.66)	5.82347
(9961.57,662.173)--(9955.82,663.575)	5.92022
(6636.04,6044.36)--(6638.59,6039.02)	5.9232
(5831.05,2730.66)--(5825.29,2732.35)	6.0093
(6735.58,3078.03)--(6729.59,3077.38)	6.03099
(7727.97,3634.11)--(7726.04,3639.84)	6.05053
(2509.46,1009.12)--(2510.09,1002.97)	6.17833
(9051.61,2933.39)--(9055.7,2928.7)	6.22127
(6169.77,5452.74)--(6175.9,5453.97)	6.24764
(4864.76,8905.91)--(4870.28,8902.98)	6.25707
(4075.57,4028.94)--(4069.34,4030.16)	6.34736
(3329.14,2397.47)--(3333.87,2401.75)	6.38111
(1061.3,2306.93)--(1055.88,2303.36)	6.48897
(475.308,6031.51)--(476.974,6025.22)	6.50252
(2703.55,9360.93)--(2708.96,9364.55)	6.51093
(7938.16,6484.93)--(7933.86,6489.94)	6.60167
(434.729,4513.36)--(428.478,4511.18)	6.61955
(1384.33,2133.45)--(1380.25,2128.23)	6.62669
(3660.94,2447.45)--(3654.34,2446.75)	6.63302
(3474.96,946.099)--(3473.07,939.74)	6.63371
(796.387,1580.9)--(789.889,1582.3)	6.64879
(5099.4,8029.23)--(5092.74,8029.25)	6.66614
(5012.66,7577.57)--(5010.69,7583.95)	6.67537
(1819.23,7675.44)--(1814.13,7671.12)	6.68199
(6953.4,397.189)--(6955.94,403.397)	6.70652
(9352.96,9422.76)--(9352.09,9429.42)	6.72439
(2535.1,8593.58)--(2533.8,8600.21)	6.75811
(1370.79,8440.99)--(1377.65,8440.89)	6.85799
(5777.98,6648.45)--(5773.95,6654.04)	6.88724
(6297.27,1043.8)--(6291.86,1048.22)	6.99024
(3997.02,7108.8)--(3995.28,7115.63)	7.04922
(2650.57,8152.04)--(2643.52,8152.47)	7.05743
(8541.09,8347.16)--(8535.88,8342.32)	7.11429
(5033.41,8869.57)--(5037.29,8863.6)	7.12064
(6731.98,692.136)--(6726.41,687.649)	7.15461
(6766.44,1357.34)--(6760.72,1352.99)	7.18917
(853.982,1065.91)--(858.25,1060.11)	7.20107
(8218.29,319.841)--(8225.18,321.941)	7.20468
(1380.43,7874.11)--(1383.73,7880.56)	7.24285
(5894.87,5244.77)--(5887.61,5244.38)	7.27034
(5388.11,2454.12)--(5395.2,2455.75)	7.27121
(5866.07,2861.06)--(5858.97,2862.72)	7.28388
(5706.87,2436.75)--(5711.26,2442.56)	7.28427
(7213.19,9958.98)--(7220.46,9958.02)	7.32888
