Total weight: 543845
(4696.2,1378.08)--(4697.27,1378.06)	1.07495
(7642.83,385.276)--(7643.79,384.518)	1.22979
(1010.49,1816.09)--(1011.68,1817.27)	1.67672
(2767.04,4452.26)--(2764.99,4453.71)	2.50978
(3983.35,7117.75)--(3984.78,7120.17)	2.80949
(1613.34,4412.29)--(1612.09,4409.73)	2.84888
(7755.56,7960.39)--(7757.61,7958.33)	2.90304
(2311.94,7315.88)--(2310.18,7313.57)	2.91447
(3616.6,8307.77)--(3619.68,8306.97)	3.18016
(6586.83,5553.03)--(6585.71,5556.22)	3.37502
(9650.17,4476.7)--(9647.75,4473.65)	3.89259
(8273.4,5221.97)--(8274.28,5218.07)	3.99375
(3761.77,7139.68)--(3765.69,7138.6)	4.0693
(7397.71,2771.93)--(7393.51,2771.25)	4.26031
(5003.87,1666.95)--(5000.02,1669.51)	4.62845
(6222,4714.99)--(6222.96,4719.85)	4.95522
(8933.64,6422.89)--(8938.8,6422.93)	5.16688
(8462.48,4102.29)--(8467.82,4103.06)	5.39265
(1073.72,3810.92)--(1072.82,3805.57)	5.42265
(6240.06,5478)--(6235.05,5480.69)	5.68146
(1358.33,717.215)--(1355.51,722.342)	5.85086
(3640.79,4117.5)--(3638.16,4112.09)	6.01403
(2743.35,5470.87)--(2738.31,5467.49)	6.07209
(3286.04,4031.67)--(3291.46,4028.67)	6.19652
(8462.81,3139.4)--(8468.81,3140.96)	6.19825
(5189.8,678.458)--(5183.69,676.351)	6.46042
(1411.06,6103.02)--(1406.62,6107.79)	6.51252
(872.743,2547.88)--(872.383,2554.63)	6.75713
(6463.8,9409.36)--(6457.8,9405.82)	6.95968
(7710.04,1021.12)--(7714.03,1015.35)	7.00897
(6763.43,2422.56)--(6766.26,2416.06)	7.08884
(1566.68,3329.94)--(1568.75,3336.76)	7.12676
(6156.4,440.005)--(6149.36,438.799)	7.14368
(1124.71,9749.94)--(1131.89,9750.03)	7.17146
(3926.92,9037.3)--(3921.67,9032.04)	7.43548
(230.247,8858.11)--(222.999,8860.36)	7.59115
(4126.17,7418.21)--(4118.7,7416.05)	7.77344
(8030.82,6506.9)--(8023.48,6509.52)	7.79295
(6424.54,7561.31)--(6420.24,7567.95)	7.90751
(7647.81,847)--(7643.94,840.102)	7.90833
(9600.14,5369.34)--(9603.48,5376.53)	7.92956
(7531.82,1680.24)--(7529.4,1687.93)	8.06367
(3365.46,458.752)--(3359.95,464.897)	8.2551
(467.944,4974.9)--(467.444,4983.22)	8.33216
(7648.24,4609.92)--(7639.93,4608.16)	8.50052
(6576.06,9487.51)--(6581.04,9480.52)	8.57795
(2830.9,1904.07)--(2823.16,1900.31)	8.59613
(9956.1,4069.97)--(9962.12,4063.79)	8.62368
(4904.38,8619.41)--(4895.75,8620)	8.65192
(728.396,9399.44)--(719.645,9399.56)	8.75142
(4576.66,2553.07)--(4568.73,2557)	8.85095
(3958,6073.02)--(3959.71,6064.31)	8.86977
(4259.44,2383.7)--(4256,2375.51)	8.88418
(8040.55,7468.23)--(8039.92,7477.12)	8.91181
(1291.63,823.906)--(1284.44,818.504)	8.99939
(7350.18,3247.66)--(7357.93,3252.6)	9.19372
(7639.93,4608.16)--(7635.05,4615.97)	9.20062
(2750.95,5259.42)--(2755.04,5267.81)	9.33867
(5798.25,2367.25)--(5804.57,2360.22)	9.45353
(6206.76,4281.33)--(6197.3,4281.74)	9.4617
(1411.06,6103.02)--(1420.52,6102.56)	9.47529
(7184.64,5504.71)--(7188.95,5513.16)	9.48561
(9314.08,696.092)--(9304.59,696.135)	9.49152
(9018.19,5131.53)--(9022.48,5140.02)	9.51362
(9529.49,6082.25)--(9536.25,6075.26)	9.72184
(8636.2,4151.39)--(8636.11,4161.2)	9.81375
(9059.09,3499.75)--(9053.23,3507.8)	9.95714
(7525,6580.3)--(7530.33,6571.84)	10.0015
(8972.54,6696.66)--(8979.77,6703.58)	10.0111
(8256.8,1559.92)--(8265.51,1564.89)	10.0279
(199.518,1351.88)--(194.478,1360.74)	10.1858
(4472.11,6772.28)--(4475.05,6762.51)	10.1965
(3188.87,7278.65)--(3191.18,7268.7)	10.2184
(6318.76,9148.5)--(6308.53,9147.18)	10.3169
(9819.19,1023.45)--(9823.5,1014.06)	10.3349
(4369.67,641.503)--(4365.96,651.27)	10.4513
